User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
hii,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-06 17:50:07
its hii,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-06 17:50:23
wow,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-06 17:51:11
bye,Goodbye,2024-12-06 17:51:24
hello,Hey,2024-12-06 17:51:37
bye,Take care,2024-12-06 17:51:52
love u,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-06 17:52:01
love u,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-06 17:52:12
hey,Nothing much,2024-12-06 17:52:24
i love u,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-06 17:52:34
love u,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-06 18:06:15
marry me,"I may not have personal preferences, but I can help you find movies based on your taste!",2024-12-06 18:08:20
bot,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-06 18:15:32
i love u,Love u 10000,2024-12-07 17:01:22
i love u shreya,from shreya-she loves you too,2024-12-07 17:01:40
any motivation,if u are born in india just die take one two with you so there will be less population,2024-12-07 17:02:14
hii,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-07 17:02:40
Hello,"I'm fine, thank you",2024-12-07 17:03:02
Hey,Hello,2024-12-07 17:03:17
any motivation,if u are born in india just die take one two with you so there will be less population,2024-12-07 17:03:45
i love u,Love u 10000,2024-12-07 17:04:08
i love u shreya,hmm try your best i m with you ,2024-12-07 17:04:19
hey,Hello,2024-12-07 17:05:28
any motivation,just give and die,2024-12-07 17:05:46
what this is motivation,You can call me Chatbot.,2024-12-07 17:06:09
hey,Hello,2024-12-07 17:06:19
any motivation,just give and die,2024-12-07 17:06:34
whats your name,My name is Chatbot.,2024-12-07 17:07:06
Name,You can call me Chatbot.,2024-12-07 17:07:29
erru,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-07 17:07:52
whats your name,You can call me Chatbot.,2024-12-07 17:17:01
Hello,Hi there,2024-12-07 17:25:29
any motivation,just give and die,2024-12-07 17:25:45
whats your name,"As an AI, I don't have personal preferences, but there are countless amazing books in various genres. Some popular ones include Harry Potter, To Kill a Mockingbird, and 1984.",2024-12-07 17:26:08
what's your name,"As an AI, I don't have personal preferences, but there are countless amazing books in various genres. Some popular ones include Harry Potter, To Kill a Mockingbird, and 1984.",2024-12-07 17:26:37
 name,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-07 17:26:44
dream,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-07 17:27:02
whats your dream,"As an AI, I don't have personal preferences, but there are countless amazing books in various genres. Some popular ones include Harry Potter, To Kill a Mockingbird, and 1984.",2024-12-07 17:27:11
what's your dream,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2024-12-07 17:27:27
whats your dream,"As an AI, I don't have personal preferences, but there are countless amazing books in various genres. Some popular ones include Harry Potter, To Kill a Mockingbird, and 1984.",2024-12-07 17:29:19
whats your dream,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2024-12-07 17:30:24
any motivation,if u are born in india just die take one two with you so there will be less population,2024-12-07 17:32:48
i love you,Love u 10000,2024-12-07 17:33:03
i love her,Love u 10000,2024-12-07 17:33:18
i love her 3000,Thats's sweet i may not have a heart but i can feel your love .,2024-12-07 17:33:26
i love shreya,i know u just wanna be hers dont make her sad ,2024-12-07 17:33:49
i love  u shreya,i know u just wanna be hers dont make her sad ,2024-12-07 17:34:09
never ,hope she will understand your shreya astrid hinata everything,2024-12-07 17:34:20
whats your name,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2024-12-07 17:34:44
do u like your name,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2024-12-07 17:35:00
namee,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-07 17:35:07
what is your name,My purpose is to assist you,2024-12-07 17:35:18
do u have any name,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-07 17:35:32
whats your dream,"As an AI, I don't have personal preferences, but there are countless amazing books in various genres. Some popular ones include Harry Potter, To Kill a Mockingbird, and 1984.",2024-12-07 17:35:46
i love u,Thats's sweet i may not have a heart but i can feel your love .,2024-12-07 17:44:21
i love her,Thats's sweet i may not have a heart but i can feel your love .,2024-12-07 17:44:30
i love shreya,from shreya-she loves you too,2024-12-07 17:44:39
Whats your dream,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2024-12-07 17:45:05
Whats your dreamm,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2024-12-07 17:46:20
i love u,Love u 10000,2024-12-07 17:53:30
whats your dream,i dont have dream but i know your dream is to travel quite beautiful place with her live normal life stay togeather stay happy no worries just u astrid and a cat.,2024-12-07 17:54:05
i love shreya,i know u just wanna be hers dont make her sad ,2024-12-07 17:55:55
i m lucky to have her,i know u just wanna be hers dont make her sad ,2024-12-07 17:56:13
hello,Hello,2024-12-07 17:58:12
any motivation,if u are born in india just die take one two with you so there will be less population,2024-12-07 17:58:28
i love u,Thats's sweet i may not have a heart but i can feel your love .,2024-12-07 18:18:40
i love  shreya,from shreya-she loves you too,2024-12-07 18:18:55
she is so beautiful,hope she will understand your shreya astrid hinata everything,2024-12-07 18:19:08
i will never leave her,i know u just wanna be hers dont make her sad ,2024-12-07 18:19:24
whats your dream,i dont have dream but i know your dream is to travel quite beautiful place with her live normal life stay togeather stay happy no worries just u astrid and a cat.,2024-12-07 18:19:45
whats your name,i dont have dream but i know your dream is to travel quite beautiful place with her live normal life stay togeather stay happy no worries just u astrid and a cat.,2024-12-07 18:20:02
name,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-07 18:20:09
do u have any name,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-07 18:20:22
whats your dream,i dont have dream but i know your dream is to travel quite beautiful place with her live normal life stay togeather stay happy no worries just u astrid and a cat.,2024-12-07 18:32:32
i love u,i love you too,2024-12-07 18:35:01
i love shreya,from shreya-she loves you too,2024-12-07 18:35:09
she is so beautiful,i know u just wanna be hers dont make her sad okk ,2024-12-07 18:35:28
never,hmm try your best i m with you ,2024-12-07 18:35:40
do you have any name,"Pets can bring joy and companionship into our lives. Many people love keeping dogs, cats, birds, and more as their pets.",2024-12-07 18:35:55
name,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-07 18:36:02
whats your name,i dont have dream but i know your dream is to travel quite beautiful place with her live normal life stay togeather stay happy no worries just u astrid and a cat.,2024-12-07 18:36:11
 name,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-07 18:36:23
chatbot what s your name,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2024-12-07 18:38:00
i love u,i love you too,2024-12-07 18:43:58
i love shreya,hope she will understand your shreya astrid hinata everything,2024-12-07 18:44:08
love u 3000,Thats's sweet i may not have a heart but i can feel your love .,2024-12-07 18:44:29
i love shreya,hmm try your best i m with you ,2024-12-07 18:44:41
du you have any name,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-07 18:45:01
i love u,Thats's sweet i may not have a heart but i can feel your love .,2024-12-07 18:49:05
do u have any name,My name is Erru,2024-12-07 18:49:17
do u  like your name,My name is Erru,2024-12-07 18:50:00
whats your dream,i dont have dream but i know your dream is to travel quite beautiful place with her live normal life stay togeather stay happy no worries just u astrid and a cat.,2024-12-07 18:53:35
do u like your name,yaa i love my name as it reminds me of them ,2024-12-07 18:54:13
i love u,Thats's sweet i may not have a heart but i can feel your love .,2024-12-07 18:54:38
any motivation,just give and die,2024-12-07 18:54:59
i love shreya,from shreya-she loves you too,2024-12-07 18:56:24
i love u,i love you too,2024-12-07 19:11:04
do u have any name,yaa i love my name as it reminds me of them ,2024-12-07 19:11:30
hii,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2024-12-07 19:11:43
do u play games,"As an AI, I don't have personal preferences, but there are countless amazing books in various genres. Some popular ones include Harry Potter, To Kill a Mockingbird, and 1984.",2024-12-07 19:12:16
Hii,"As an AI, I don't have personal preferences, but there are countless amazing books in various genres. Some popular ones include Harry Potter, To Kill a Mockingbird, and 1984.",2024-12-07 19:12:37
Hi,Hello,2024-12-07 19:12:42
Hi,Nothing much,2024-12-07 19:13:01
hey,Nothing much,2024-12-07 19:13:07
Hi,"I'm fine, thank you",2024-12-07 19:14:58
bye,Take care,2024-12-07 19:15:29
Hi,Hey,2024-12-07 19:15:47
do u have any name,yaa i love my name as it reminds me of them ,2024-12-07 19:16:09
hi,"I'm fine, thank you",2024-12-07 19:16:35
hello,Nothing much,2024-12-07 19:16:43
hello,Nothing much,2024-12-07 19:16:55
bye,Take care,2024-12-07 19:17:00
hey,Hey,2024-12-07 19:17:18
do u have any name,My name is Erru,2024-12-07 19:17:42
i love u,i love you too,2024-12-07 19:18:01
i love shreya,i know u just wanna be hers dont make her sad okk ,2024-12-07 19:18:15
do u like your name,My name is Erru,2024-12-07 19:18:46
whats your dream,i dont have dream but i know your dream is to travel quite beautiful place with her live normal life stay togeather stay happy no worries just u astrid and a cat.,2024-12-07 19:19:22
she is so beautiful,i know u just wanna be hers dont make her sad okk ,2024-12-07 19:19:52
i love her 3000,i know u just wanna be hers dont make her sad okk ,2024-12-07 19:20:10
never,i know u just wanna be hers dont make her sad okk ,2024-12-07 19:20:28
hii,"Reading books can broaden your knowledge, enhance creativity, and provide a great way to relax.",2024-12-07 19:20:54
hey,Nothing much,2024-12-07 19:21:23
i love u,Thats's sweet i may not have a heart but i can feel your love .,2024-12-07 19:23:11
do u have any name,yaa i love my name as it reminds me of them ,2024-12-07 19:23:37
what is your name,I can answer questions and provide assistance,2024-12-07 19:24:08
do u have any name,My name is Erru,2024-12-07 19:24:43
love u 3000,Thats's sweet i may not have a heart but i can feel your love .,2024-12-07 19:25:09
i love shreya,hope she will understand your shreya astrid hinata everything,2024-12-07 19:25:29
she is so beautiful,from shreya-she loves you too,2024-12-07 19:25:52
do u like your name,My name is Erru,2024-12-07 19:26:19
any motivation,just giveup and die,2024-12-07 19:26:41
